Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:37:04.275,114252.8,0.002,BTCUSDT
2025-09-30 00:37:04.275,114252.8,0.003,BTCUSDT
2025-09-30 00:37:04.275,114252.7,0.002,BTCUSDT
2025-09-30 00:37:04.275,114252.7,0.001,BTCUSDT
2025-09-30 00:37:04.275,114252.7,0.001,BTCUSDT
2025-09-30 00:37:04.275,114252.7,0.003,BTCUSDT
2025-09-30 00:37:04.291,114252.6,0.001,BTCUSDT
2025-09-30 00:37:04.291,114252.6,0.001,BTCUSDT
2025-09-30 00:37:04.291,114252.6,0.001,BTCUSDT
2025-09-30 00:37:04.291,114252.6,0.001,BTCUSDT
2025-09-30 00:37:04.291,114252.6,0.001,BTCUSDT
2025-09-30 00:37:04.332,114252.6,0.001,BTCUSDT
2025-09-30 00:37:04.332,114252.6,0.012,BTCUSDT
2025-09-30 00:37:04.332,114252.6,0.002,BTCUSDT
2025-09-30 00:37:04.332,114252.6,0.001,BTCUSDT
2025-09-30 00:37:04.332,114252.6,0.001,BTCUSDT
2025-09-30 00:37:04.332,114252.5,0.001,BTCUSDT
2025-09-30 00:37:04.332,114252.3,0.001,BTCUSDT
2025-09-30 00:37:04.332,114252.3,0.001,BTCUSDT
2025-09-30 00:37:04.332,114252.0,0.002,BTCUSDT
2025-09-30 00:37:04.332,114252.0,0.002,BTCUSDT
2025-09-30 00:37:04.332,114251.9,0.002,BTCUSDT
2025-09-30 00:37:04.332,114251.5,0.001,BTCUSDT
2025-09-30 00:37:04.332,114251.3,0.002,BTCUSDT
2025-09-30 00:37:04.332,114251.0,0.002,BTCUSDT
2025-09-30 00:37:04.332,114250.9,0.002,BTCUSDT
2025-09-30 00:37:04.332,114250.8,0.002,BTCUSDT
2025-09-30 00:37:04.332,114250.7,0.002,BTCUSDT
2025-09-30 00:37:04.332,114250.1,0.002,BTCUSDT
2025-09-30 00:37:04.332,114250.1,0.002,BTCUSDT
2025-09-30 00:37:04.430,114250.0,0.018,BTCUSDT
2025-09-30 00:37:04.430,114250.0,0.001,BTCUSDT
2025-09-30 00:37:04.430,114250.0,0.001,BTCUSDT
2025-09-30 00:37:04.430,114250.0,0.016,BTCUSDT
2025-09-30 00:37:04.430,114250.0,0.381,BTCUSDT
2025-09-30 00:37:04.430,114250.0,0.002,BTCUSDT
2025-09-30 00:37:04.430,114249.9,0.002,BTCUSDT
2025-09-30 00:37:04.430,114249.9,0.001,BTCUSDT
